algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug2,with_roads,battlebot,585,363,1,305.209000,49.556000,1,1,1.058824,1,36,12,609
bug-bug2,with_roads,battlebot,66,390,1,403.779000,79.165000,1,1,1.000000,1,45,15,609
bug-bug2,with_roads,battlebot,275,16,1,1335.574000,160.090000,1,1,1.885714,0,198,66,609
bug-bug2,with_roads,battlebot,15,69,1,1237.081000,151.191000,1,1,1.453846,0,189,63,609
bug-bug2,no_roads,bear_of_doom,203,185,1,80.478000,34.675000,1,1,1.000000,1,9,3,441
bug-bug2,no_roads,bear_of_doom,75,437,1,433.074000,60.385000,1,1,1.000000,1,54,18,441
bug-bug2,no_roads,bear_of_doom,303,29,1,298.480000,45.007000,1,1,1.000000,1,39,13,441
bug-bug2,no_roads,bear_of_doom,366,25,1,392.726000,48.816000,1,1,1.062500,1,51,17,441
bug-bug2,no_roads,bear_of_doom,171,322,1,169.134000,30.859000,1,1,1.000000,1,21,7,441
bug-bug2,no_roads,bear_of_doom,436,205,1,278.115000,47.769000,1,1,1.000000,1,33,11,441
bug-bug2,no_roads,bear_of_doom,8,132,1,125.323000,35.359000,1,1,1.000000,1,18,6,441
bug-bug2,no_roads,bear_of_doom,270,83,1,362.750000,77.500000,1,1,1.000000,1,63,21,441
bug-bug2,no_roads,bear_of_doom,329,390,1,84.353000,40.532000,1,1,1.000000,1,9,3,441
bug-bug2,no_roads,bear_of_doom,69,405,1,379.676000,39.143000,1,1,1.000000,1,48,16,441
bug-bug2,with_roads,bear_of_doom,203,185,1,81.311000,35.703000,1,1,1.000000,1,9,3,441
bug-bug2,with_roads,bear_of_doom,75,437,1,454.915000,75.129000,1,1,1.000000,1,54,18,441
bug-bug2,with_roads,bear_of_doom,303,29,1,305.896000,52.742000,1,1,1.347826,1,31,13,441
bug-bug2,with_roads,bear_of_doom,366,25,1,404.605000,60.225000,1,1,1.361111,1,49,17,441
bug-bug2,with_roads,bear_of_doom,171,322,1,168.839000,32.140000,1,1,1.266667,1,19,7,441
bug-bug2,with_roads,bear_of_doom,436,205,1,276.810000,46.120000,1,1,1.000000,1,33,11,441
bug-bug2,with_roads,bear_of_doom,8,132,1,127.057000,35.726000,1,1,1.000000,1,6,6,441
bug-bug2,with_roads,bear_of_doom,270,83,1,360.961000,66.678000,1,1,1.000000,1,63,21,441
bug-bug2,with_roads,bear_of_doom,329,390,1,100.270000,49.714000,1,1,1.000000,1,9,3,441
bug-bug2,with_roads,bear_of_doom,69,405,1,376.528000,40.773000,1,1,1.703704,1,46,16,441
bug-bug2,no_roads,binary_tree,244,51,1,666.076000,77.103000,1,1,1.000000,1,87,29,1230
bug-bug2,no_roads,binary_tree,617,543,1,268.477000,60.969000,1,1,1.000000,1,27,9,1230
bug-bug2,no_roads,binary_tree,491,307,1,526.727000,35.447000,1,1,1.000000,1,60,20,1230
bug-bug2,no_roads,binary_tree,223,190,1,207.703000,62.920000,1,1,1.000000,1,24,8,1230
bug-bug2,no_roads,binary_tree,983,65,1,566.824000,82.202000,1,1,1.000000,1,66,22,1230
bug-bug2,no_roads,binary_tree,61,203,1,443.806000,32.801000,1,1,1.000000,1,57,19,1230
bug-bug2,no_roads,binary_tree,479,513,1,195.507000,43.353000,1,1,1.000000,1,21,7,1230
bug-bug2,no_roads,binary_tree,1181,54,1,878.084000,104.519000,1,1,1.172414,1,102,34,1230
bug-bug2,no_roads,binary_tree,433,978,1,498.768000,66.050000,1,1,1.000000,1,57,19,1230
bug-bug2,no_roads,binary_tree,485,1049,1,504.884000,70.542000,1,1,1.000000,1,57,19,1230
bug-bug2,with_roads,binary_tree,244,51,1,645.268000,74.197000,1,1,1.225352,1,87,29,1230
bug-bug2,with_roads,binary_tree,617,543,1,244.545000,59.493000,1,1,1.117647,1,19,9,1230
bug-bug2,with_roads,binary_tree,491,307,1,527.934000,36.730000,1,1,1.000000,1,60,20,1230
bug-bug2,with_roads,binary_tree,223,190,1,208.329000,63.785000,1,1,1.000000,1,24,8,1230
bug-bug2,with_roads,binary_tree,983,65,1,562.506000,79.160000,1,1,1.000000,1,66,22,1230
bug-bug2,with_roads,binary_tree,61,203,1,435.123000,33.520000,1,1,1.000000,1,57,19,1230
bug-bug2,with_roads,binary_tree,479,513,1,203.275000,43.711000,1,1,1.000000,1,21,7,1230
bug-bug2,with_roads,binary_tree,1181,54,1,875.319000,102.774000,1,1,1.172414,1,102,34,1230
bug-bug2,with_roads,binary_tree,433,978,1,511.645000,65.015000,1,1,1.000000,1,57,19,1230
bug-bug2,with_roads,binary_tree,485,1049,1,530.693000,79.959000,1,1,1.000000,1,57,19,1230
bug-bug2,no_roads,building_blocks,1800,286,1,1745.019000,313.809000,1,1,1.000000,1,174,58,2401
bug-bug2,no_roads,building_blocks,60,2108,1,1092.713000,151.564000,1,1,1.000000,1,138,46,2401
bug-bug2,no_roads,building_blocks,758,669,1,411.953000,71.514000,1,1,1.000000,1,48,16,2401
bug-bug2,no_roads,building_blocks,616,358,1,352.669000,59.501000,1,1,1.000000,1,39,13,2401
bug-bug2,no_roads,building_blocks,2095,261,1,1862.430000,339.559000,1,1,1.152542,1,204,68,2401
bug-bug2,no_roads,building_blocks,1926,2106,1,2106.146000,320.887000,1,1,1.000000,1,255,85,2401
bug-bug2,no_roads,building_blocks,1541,222,1,2398.795000,386.959000,1,1,1.256757,0,279,93,2401
bug-bug2,no_roads,building_blocks,1667,1167,1,2388.112000,361.026000,1,1,1.226667,1,276,92,2401
bug-bug2,no_roads,building_blocks,77,71,1,761.379000,110.289000,1,1,1.000000,1,84,28,2401
bug-bug2,no_roads,building_blocks,238,606,1,706.348000,135.746000,1,1,1.000000,1,78,26,2401
bug-bug2,with_roads,building_blocks,1800,286,1,1501.967000,310.989000,1,1,1.000000,1,174,58,2401
bug-bug2,with_roads,building_blocks,60,2108,1,1077.244000,154.012000,1,1,1.583333,1,76,46,2401
bug-bug2,with_roads,building_blocks,758,669,1,505.655000,101.330000,1,1,1.000000,1,48,16,2401
bug-bug2,with_roads,building_blocks,616,358,1,338.157000,65.106000,1,1,1.000000,1,39,13,2401
bug-bug2,with_roads,building_blocks,2095,261,1,1745.754000,318.721000,1,1,1.436620,1,204,68,2401
bug-bug2,with_roads,building_blocks,1926,2106,1,2361.391000,348.512000,1,1,1.045082,0,255,85,2401
bug-bug2,with_roads,building_blocks,1541,222,1,2389.060000,320.714000,1,1,1.662069,1,241,93,2401
bug-bug2,with_roads,building_blocks,1667,1167,1,2315.059000,330.502000,1,1,1.664430,1,248,92,2401
bug-bug2,with_roads,building_blocks,77,71,1,731.480000,112.021000,1,1,1.000000,1,84,28,2401
bug-bug2,with_roads,building_blocks,238,606,1,678.005000,118.208000,1,1,1.000000,1,78,26,2401
bug-bug2,no_roads,butterfly,25,922,1,849.035000,83.479000,1,1,1.000000,1,87,29,961
bug-bug2,no_roads,butterfly,326,287,1,251.863000,61.804000,1,1,1.000000,1,24,8,961
bug-bug2,no_roads,butterfly,261,148,1,281.692000,41.678000,1,1,1.000000,1,33,11,961
bug-bug2,no_roads,butterfly,676,89,1,545.103000,78.671000,1,1,1.000000,1,63,21,961
bug-bug2,no_roads,butterfly,732,509,1,291.650000,65.131000,1,1,1.000000,1,33,11,961
bug-bug2,no_roads,butterfly,32,30,1,495.052000,32.708000,1,1,1.000000,1,87,29,961
bug-bug2,no_roads,butterfly,95,255,1,197.376000,41.607000,1,1,1.000000,1,24,8,961
bug-bug2,no_roads,butterfly,695,230,1,478.673000,75.547000,1,1,1.000000,1,54,18,961
bug-bug2,no_roads,butterfly,506,257,1,205.717000,35.773000,1,1,1.000000,1,24,8,961
bug-bug2,no_roads,butterfly,547,731,1,168.444000,44.634000,1,1,1.000000,1,18,6,961
bug-bug2,with_roads,butterfly,25,922,1,755.475000,75.332000,1,1,1.000000,1,87,29,961
bug-bug2,with_roads,butterfly,326,287,1,229.963000,59.054000,1,1,1.000000,1,24,8,961
bug-bug2,with_roads,butterfly,261,148,1,280.912000,36.808000,1,1,1.000000,1,33,11,961
bug-bug2,with_roads,butterfly,676,89,1,648.279000,91.763000,1,1,1.000000,1,63,21,961
bug-bug2,with_roads,butterfly,732,509,1,330.987000,81.976000,1,1,1.000000,1,33,11,961
bug-bug2,with_roads,butterfly,32,30,1,496.005000,33.707000,1,1,1.024691,1,83,29,961
bug-bug2,with_roads,butterfly,95,255,1,201.347000,43.844000,1,1,1.200000,0,24,8,961
bug-bug2,with_roads,butterfly,695,230,1,495.711000,79.284000,1,1,1.000000,1,54,18,961
bug-bug2,with_roads,butterfly,506,257,1,212.790000,37.597000,1,1,1.000000,1,24,8,961
bug-bug2,with_roads,butterfly,547,731,1,158.168000,36.667000,1,1,1.000000,1,18,6,961
bug-bug2,no_roads,castle_keep,486,102,1,1370.622000,99.189000,1,1,1.000000,1,129,43,2401
bug-bug2,no_roads,castle_keep,1278,1127,1,217.023000,77.812000,1,1,1.000000,1,12,4,2401
bug-bug2,no_roads,castle_keep,1030,606,1,625.816000,117.622000,1,1,1.000000,1,54,18,2401
bug-bug2,no_roads,castle_keep,448,381,1,1057.808000,59.182000,1,1,1.000000,1,93,31,2401
bug-bug2,no_roads,castle_keep,1988,133,1,2245.123000,243.066000,1,1,1.294118,1,198,66,2401
bug-bug2,no_roads,castle_keep,125,410,1,312.065000,46.137000,1,1,1.000000,1,27,9,2401
bug-bug2,no_roads,castle_keep,1009,1072,1,1494.740000,207.238000,1,1,1.333333,1,132,44,2401
bug-bug2,no_roads,castle_keep,2349,111,1,1609.186000,165.890000,1,1,1.020000,1,153,51,2401
bug-bug2,no_roads,castle_keep,921,1978,1,1515.439000,194.421000,1,1,1.244444,1,168,56,2401
bug-bug2,no_roads,castle_keep,1017,2109,1,1407.383000,144.340000,1,1,1.130435,1,156,52,2401
bug-bug2,with_roads,castle_keep,486,102,1,1179.163000,107.692000,1,1,1.285714,1,117,43,2401
bug-bug2,with_roads,castle_keep,1278,1127,1,113.009000,43.115000,1,1,1.000000,1,12,4,2401
bug-bug2,with_roads,castle_keep,1030,606,1,514.837000,95.915000,1,1,1.000000,1,54,18,2401
bug-bug2,with_roads,castle_keep,448,381,1,843.830000,45.342000,1,1,1.246575,1,91,31,2401
bug-bug2,with_roads,castle_keep,1988,133,1,1977.614000,221.745000,1,1,1.840000,1,184,66,2401
bug-bug2,with_roads,castle_keep,125,410,1,258.833000,38.004000,1,1,1.086957,1,25,9,2401
bug-bug2,with_roads,castle_keep,1009,1072,1,1264.167000,174.882000,1,1,1.333333,1,120,44,2401
bug-bug2,with_roads,castle_keep,2349,111,1,1508.529000,209.069000,1,1,1.500000,1,99,51,2401
bug-bug2,with_roads,castle_keep,921,1978,1,1562.423000,195.326000,1,1,1.373913,1,158,56,2401
bug-bug2,with_roads,castle_keep,1017,2109,1,1591.898000,142.065000,1,1,1.245614,1,142,52,2401
bug-bug2,no_roads,chemistry_class,1419,228,1,1012.880000,108.274000,1,1,1.000000,1,90,30,1600
bug-bug2,no_roads,chemistry_class,51,565,1,371.000000,43.932000,1,1,1.000000,1,39,13,1600
bug-bug2,no_roads,chemistry_class,501,457,1,110.539000,34.896000,1,1,1.000000,1,12,4,1600
bug-bug2,no_roads,chemistry_class,285,209,1,114.081000,35.846000,1,1,1.000000,1,12,4,1600
bug-bug2,no_roads,chemistry_class,1507,1189,1,263.977000,58.636000,1,1,1.000000,1,27,9,1600
bug-bug2,no_roads,chemistry_class,178,1297,1,928.331000,110.649000,1,1,1.000000,1,84,28,1600
bug-bug2,no_roads,chemistry_class,892,65,1,844.156000,97.356000,1,1,1.000000,1,63,21,1600
bug-bug2,no_roads,chemistry_class,61,191,1,359.950000,47.697000,1,1,1.000000,1,30,10,1600
bug-bug2,no_roads,chemistry_class,447,476,1,1076.206000,66.950000,1,1,1.000000,1,87,29,1600
bug-bug2,no_roads,chemistry_class,1091,1323,1,321.198000,58.624000,1,1,1.000000,1,24,8,1600
bug-bug2,with_roads,chemistry_class,1419,228,1,1040.590000,118.992000,1,1,1.105263,1,84,30,1600
bug-bug2,with_roads,chemistry_class,51,565,1,427.868000,47.106000,1,1,1.346154,0,35,13,1600
bug-bug2,with_roads,chemistry_class,501,457,1,149.713000,48.859000,1,1,1.000000,1,12,4,1600
bug-bug2,with_roads,chemistry_class,285,209,1,150.414000,45.925000,1,1,1.000000,1,12,4,1600
bug-bug2,with_roads,chemistry_class,1507,1189,1,341.126000,88.495000,1,1,1.000000,1,27,9,1600
bug-bug2,with_roads,chemistry_class,178,1297,1,915.007000,113.806000,1,1,1.000000,1,84,28,1600
bug-bug2,with_roads,chemistry_class,892,65,1,700.722000,72.624000,1,1,1.036364,1,57,21,1600
bug-bug2,with_roads,chemistry_class,61,191,1,363.757000,45.908000,1,1,1.375000,1,22,10,1600
bug-bug2,with_roads,chemistry_class,447,476,1,969.842000,58.040000,1,1,1.528302,0,81,29,1600
bug-bug2,with_roads,chemistry_class,1091,1323,1,271.092000,44.838000,1,1,1.000000,1,24,8,1600
bug-bug2,no_roads,chess,1895,369,1,1012.767000,143.063000,1,1,1.000000,1,96,32,2401
bug-bug2,no_roads,chess,112,2191,1,1342.792000,191.430000,1,1,1.000000,1,126,42,2401
bug-bug2,no_roads,chess,819,744,1,767.559000,124.185000,1,1,1.000000,1,78,26,2401
