algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bfsbug,no_roads,shish_kebab,391,62,1,1596.919000,1,1,1.058824,1,54,18,400
bug-bfsbug,with_roads,shish_kebab,391,62,1,1557.037000,1,1,2.571429,0,54,18,400
bug-bfsbug,no_roads,shrub,128,27,1,1275.867000,1,1,1.000000,1,60,20,900
bug-bfsbug,with_roads,shrub,128,27,1,1226.062000,1,1,1.000000,1,60,20,900
bug-bfsbug,no_roads,sierpinski_evil,920,124,1,644.319000,0,0,,,0,0,961
bug-bfsbug,with_roads,sierpinski_evil,920,124,1,635.165000,0,0,,,0,0,961
bug-bfsbug,no_roads,socket,167,35,1,8443.760000,1,1,6.280000,0,471,157,1000
bug-bfsbug,with_roads,socket,167,35,1,8237.966000,1,1,8.655172,0,251,157,1000
bug-bfsbug,no_roads,spikes,162,35,1,8576.623000,1,1,2.372549,0,363,121,1000
bug-bfsbug,with_roads,spikes,162,35,1,8896.388000,1,1,4.150685,0,303,121,1000
bug-bfsbug,no_roads,starry_night,1550,251,1,3164.535000,1,1,1.615385,1,126,42,2050
bug-bfsbug,with_roads,starry_night,1550,251,1,3232.643000,1,1,1.615385,1,126,42,2050
bug-bfsbug,no_roads,strings,985,131,1,3210.987000,1,1,1.052632,1,120,40,1225
bug-bfsbug,with_roads,strings,985,131,1,3237.696000,1,1,1.123810,1,118,40,1225
bug-bfsbug,no_roads,tea,827,125,1,2241.843000,1,1,1.000000,1,75,25,900
bug-bfsbug,with_roads,tea,827,125,1,2346.659000,1,1,1.702703,1,63,25,900
bug-bfsbug,no_roads,the_great_divide,1838,274,1,12104.098000,1,1,3.000000,1,450,150,2500
bug-bfsbug,with_roads,the_great_divide,1838,274,1,12707.615000,1,1,6.142857,1,430,150,2500
bug-bfsbug,no_roads,the_powerful_egg,1535,256,1,3458.378000,1,1,1.000000,1,108,36,1750
bug-bfsbug,with_roads,the_powerful_egg,1535,256,1,3472.525000,1,1,1.000000,1,108,36,1750
bug-bfsbug,no_roads,thread_of_connection,61,13,1,2470.780000,1,1,1.300000,1,117,39,400
bug-bfsbug,with_roads,thread_of_connection,61,13,1,2441.276000,1,1,1.282353,0,109,39,400
bug-bfsbug,no_roads,tiles,979,170,1,2917.989000,1,1,1.161290,1,108,36,1200
bug-bfsbug,with_roads,tiles,979,170,1,2898.910000,1,1,1.737705,0,106,36,1200
bug-bfsbug,no_roads,tree_of_life,268,57,1,1238.508000,1,1,1.000000,1,48,16,1170
bug-bfsbug,with_roads,tree_of_life,268,57,1,1263.482000,1,1,1.000000,1,48,16,1170
bug-bfsbug,no_roads,vase,294,61,1,4409.828000,1,1,1.338462,0,261,87,1400
bug-bfsbug,with_roads,vase,294,61,1,4524.055000,1,1,2.228916,0,185,87,1400
bug-bfsbug,no_roads,wall,871,152,1,5926.470000,1,1,2.147059,1,219,73,1024
bug-bfsbug,with_roads,wall,871,152,1,5671.843000,1,1,2.147059,1,219,73,1024
bug-bfsbug,no_roads,wasteland,289,61,1,813.134000,1,1,1.000000,1,36,12,1600
bug-bfsbug,with_roads,wasteland,289,61,1,827.951000,1,1,1.000000,1,36,12,1600
bug-bfsbug,no_roads,wasteland_oasis,1100,186,1,3237.224000,1,1,1.814815,1,147,49,1600
bug-bfsbug,with_roads,wasteland_oasis,1100,186,1,3258.421000,1,1,2.134328,1,143,49,1600
bug-bfsbug,no_roads,we_love_tetris,169,67,1,1847.156000,1,1,1.000000,1,63,21,820
bug-bfsbug,with_roads,we_love_tetris,169,67,1,1825.922000,1,1,1.962963,0,53,21,820
bug-bfsbug,no_roads,window_shopping,161,29,1,7508.140000,0,0,,,0,0,840
bug-bfsbug,with_roads,window_shopping,161,29,1,7535.949000,0,0,,,0,0,840
