algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-dial-apsp,with_roads,battlebot,443,79,87.9,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,12,514,39.6,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,180,160,11.9,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,147,96,71.6,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,511,74,67.6,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,471,514,13.3,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,375,66,28.4,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,409,280,15.8,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,16,15,8.1,1,1,1.000000,1
astar-dial-apsp,with_roads,battlebot,69,143,34.0,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,443,79,276.1,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,12,514,254.7,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,180,160,145.2,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,147,96,279.5,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,511,74,284.0,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,471,514,150.8,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,375,66,238.4,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,409,280,177.3,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,16,15,148.5,1,1,1.000000,1
astar-dial-bfs,with_roads,battlebot,69,143,206.5,1,1,1.000000,1
astar-dial-apsp,no_roads,bear_of_doom,268,66,133.9,0,,,
astar-dial-apsp,no_roads,bear_of_doom,21,309,84.9,0,,,
astar-dial-apsp,no_roads,bear_of_doom,140,129,72.5,0,,,
astar-dial-apsp,no_roads,bear_of_doom,120,80,13.0,1,1,1.000000,1
astar-dial-apsp,no_roads,bear_of_doom,308,63,71.7,0,,,
astar-dial-apsp,no_roads,bear_of_doom,285,309,14.7,1,1,1.000000,1
astar-dial-apsp,no_roads,bear_of_doom,383,234,18.4,1,1,1.000000,1
astar-dial-apsp,no_roads,bear_of_doom,54,251,26.9,1,1,1.000000,1
astar-dial-apsp,no_roads,bear_of_doom,192,25,17.9,1,1,1.000000,1
astar-dial-apsp,no_roads,bear_of_doom,24,56,75.7,0,,,
astar-dial-bfs,no_roads,bear_of_doom,268,66,55.2,0,,,
astar-dial-bfs,no_roads,bear_of_doom,21,309,41.1,0,,,
astar-dial-bfs,no_roads,bear_of_doom,140,129,38.2,0,,,
astar-dial-bfs,no_roads,bear_of_doom,120,80,50.4,1,1,1.000000,1
astar-dial-bfs,no_roads,bear_of_doom,308,63,40.2,0,,,
astar-dial-bfs,no_roads,bear_of_doom,285,309,59.1,1,1,1.000000,1
astar-dial-bfs,no_roads,bear_of_doom,383,234,75.5,1,1,1.000000,1
astar-dial-bfs,no_roads,bear_of_doom,54,251,101.0,1,1,1.000000,1
astar-dial-bfs,no_roads,bear_of_doom,192,25,65.3,1,1,1.000000,1
astar-dial-bfs,no_roads,bear_of_doom,24,56,38.6,0,,,
astar-dial-apsp,with_roads,bear_of_doom,268,66,112.0,0,,,
astar-dial-apsp,with_roads,bear_of_doom,21,309,79.2,0,,,
astar-dial-apsp,with_roads,bear_of_doom,140,129,75.0,0,,,
astar-dial-apsp,with_roads,bear_of_doom,120,80,14.0,1,1,1.000000,1
astar-dial-apsp,with_roads,bear_of_doom,308,63,73.8,0,,,
astar-dial-apsp,with_roads,bear_of_doom,285,309,15.5,1,1,1.000000,1
astar-dial-apsp,with_roads,bear_of_doom,383,234,15.2,1,1,1.000000,1
astar-dial-apsp,with_roads,bear_of_doom,54,251,27.0,1,1,1.000000,1
astar-dial-apsp,with_roads,bear_of_doom,192,25,14.1,1,1,1.000000,1
astar-dial-apsp,with_roads,bear_of_doom,24,56,76.1,0,,,
astar-dial-bfs,with_roads,bear_of_doom,268,66,48.3,0,,,
astar-dial-bfs,with_roads,bear_of_doom,21,309,41.3,0,,,
astar-dial-bfs,with_roads,bear_of_doom,140,129,40.7,0,,,
astar-dial-bfs,with_roads,bear_of_doom,120,80,50.2,1,1,1.000000,1
astar-dial-bfs,with_roads,bear_of_doom,308,63,41.2,0,,,
astar-dial-bfs,with_roads,bear_of_doom,285,309,60.8,1,1,1.000000,1
astar-dial-bfs,with_roads,bear_of_doom,383,234,65.9,1,1,1.000000,1
astar-dial-bfs,with_roads,bear_of_doom,54,251,101.7,1,1,1.000000,1
astar-dial-bfs,with_roads,bear_of_doom,192,25,65.3,1,1,1.000000,1
astar-dial-bfs,with_roads,bear_of_doom,24,56,38.1,0,,,
astar-dial-apsp,no_roads,binary_tree,758,124,105.5,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,28,902,114.3,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,309,276,31.4,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,250,156,102.3,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,897,114,117.3,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,810,901,44.6,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,1098,634,38.5,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,95,688,36.6,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,484,35,53.9,1,1,1.000000,1
astar-dial-apsp,no_roads,binary_tree,33,103,32.8,1,1,1.000000,1
astar-dial-bfs,no_roads,binary_tree,758,124,523.7,1,1,1.000000,1
astar-dial-bfs,no_roads,binary_tree,28,902,705.5,1,1,1.000000,1
astar-dial-bfs,no_roads,binary_tree,309,276,448.7,1,1,1.000000,1
astar-dial-bfs,no_roads,binary_tree,250,156,652.3,1,1,1.000000,1
astar-dial-bfs,no_roads,binary_tree,897,114,713.2,1,1,1.000000,1
astar-dial-bfs,no_roads,binary_tree,810,901,428.2,1,1,1.000000,1
