algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-jps,no_roads,bar_chart,741,123,673.2,0,,,
astar-jps,no_roads,bar_chart,1272,356,75.3,0,,,
astar-jps,no_roads,bar_chart,1042,226,679.7,0,,,
astar-jps-dial,no_roads,bar_chart,319,72,75.8,0,,,
astar-jps-dial,no_roads,bar_chart,769,673,376.8,0,,,
astar-jps-dial,no_roads,bar_chart,612,392,116.7,0,,,
astar-jps-dial,no_roads,bar_chart,293,249,779.0,0,,,
astar-jps-dial,no_roads,bar_chart,1165,91,54.2,0,,,
astar-jps-dial,no_roads,bar_chart,86,271,69.5,0,,,
astar-jps-dial,no_roads,bar_chart,596,641,155.8,0,,,
astar-jps-dial,no_roads,bar_chart,76,547,141.1,0,,,
astar-jps-dial,no_roads,bar_chart,1158,600,59.8,0,,,
astar-jps-dial,no_roads,bar_chart,1242,775,66.5,0,,,
astar-jps-dial,no_roads,bar_chart,18,441,65.0,0,,,
astar-jps-dial,no_roads,bar_chart,1167,948,778.4,0,,,
astar-jps-dial,no_roads,bar_chart,775,431,155.2,0,,,
astar-jps-dial,no_roads,bar_chart,587,939,667.3,0,,,
astar-jps-dial,no_roads,bar_chart,293,267,176.1,0,,,
astar-jps-dial,no_roads,bar_chart,1046,280,61.9,0,,,
astar-jps-dial,no_roads,bar_chart,995,957,65.2,0,,,
astar-jps-dial,no_roads,bar_chart,741,123,698.4,0,,,
astar-jps-dial,no_roads,bar_chart,1272,356,183.9,0,,,
astar-jps-dial,no_roads,bar_chart,1042,226,710.0,0,,,
astar-dial-cheb,with_roads,bar_chart,319,72,50.4,0,,,
astar-dial-cheb,with_roads,bar_chart,769,673,116.6,0,,,
astar-dial-cheb,with_roads,bar_chart,612,392,44.7,0,,,
astar-dial-cheb,with_roads,bar_chart,293,249,557.4,0,,,
astar-dial-cheb,with_roads,bar_chart,1165,91,23.8,0,,,
astar-dial-cheb,with_roads,bar_chart,86,271,73.9,0,,,
astar-dial-cheb,with_roads,bar_chart,596,641,53.4,0,,,
astar-dial-cheb,with_roads,bar_chart,76,547,73.3,0,,,
astar-dial-cheb,with_roads,bar_chart,1158,600,42.5,0,,,
astar-dial-cheb,with_roads,bar_chart,1242,775,69.0,0,,,
astar-dial-cheb,with_roads,bar_chart,18,441,71.5,0,,,
astar-dial-cheb,with_roads,bar_chart,1167,948,584.1,0,,,
astar-dial-cheb,with_roads,bar_chart,775,431,42.2,0,,,
astar-dial-cheb,with_roads,bar_chart,587,939,608.6,0,,,
astar-dial-cheb,with_roads,bar_chart,293,267,195.0,0,,,
astar-dial-cheb,with_roads,bar_chart,1046,280,53.3,0,,,
astar-dial-cheb,with_roads,bar_chart,995,957,68.6,0,,,
astar-dial-cheb,with_roads,bar_chart,741,123,568.0,0,,,
astar-dial-cheb,with_roads,bar_chart,1272,356,206.7,0,,,
astar-dial-cheb,with_roads,bar_chart,1042,226,571.6,0,,,
astar-jps,with_roads,bar_chart,319,72,49.4,0,,,
astar-jps,with_roads,bar_chart,769,673,191.5,0,,,
astar-jps,with_roads,bar_chart,612,392,71.1,0,,,
astar-jps,with_roads,bar_chart,293,249,747.5,0,,,
astar-jps,with_roads,bar_chart,1165,91,17.8,0,,,
astar-jps,with_roads,bar_chart,86,271,36.2,0,,,
astar-jps,with_roads,bar_chart,596,641,118.6,0,,,
astar-jps,with_roads,bar_chart,76,547,97.5,0,,,
astar-jps,with_roads,bar_chart,1158,600,26.7,0,,,
astar-jps,with_roads,bar_chart,1242,775,35.0,0,,,
astar-jps,with_roads,bar_chart,18,441,31.8,0,,,
astar-jps,with_roads,bar_chart,1167,948,717.5,0,,,
astar-jps,with_roads,bar_chart,775,431,105.9,0,,,
astar-jps,with_roads,bar_chart,587,939,618.1,0,,,
astar-jps,with_roads,bar_chart,293,267,142.8,0,,,
astar-jps,with_roads,bar_chart,1046,280,29.1,0,,,
astar-jps,with_roads,bar_chart,995,957,33.0,0,,,
astar-jps,with_roads,bar_chart,741,123,668.5,0,,,
astar-jps,with_roads,bar_chart,1272,356,74.3,0,,,
astar-jps,with_roads,bar_chart,1042,226,693.2,0,,,
astar-jps-dial,with_roads,bar_chart,319,72,72.1,0,,,
astar-jps-dial,with_roads,bar_chart,769,673,382.4,0,,,
astar-jps-dial,with_roads,bar_chart,612,392,116.9,0,,,
astar-jps-dial,with_roads,bar_chart,293,249,774.5,0,,,
astar-jps-dial,with_roads,bar_chart,1165,91,52.0,0,,,
astar-jps-dial,with_roads,bar_chart,86,271,68.6,0,,,
astar-jps-dial,with_roads,bar_chart,596,641,149.2,0,,,
astar-jps-dial,with_roads,bar_chart,76,547,137.0,0,,,
astar-jps-dial,with_roads,bar_chart,1158,600,58.1,0,,,
astar-jps-dial,with_roads,bar_chart,1242,775,66.0,0,,,
astar-jps-dial,with_roads,bar_chart,18,441,64.0,0,,,
astar-jps-dial,with_roads,bar_chart,1167,948,778.5,0,,,
astar-jps-dial,with_roads,bar_chart,775,431,153.3,0,,,
astar-jps-dial,with_roads,bar_chart,587,939,658.0,0,,,
astar-jps-dial,with_roads,bar_chart,293,267,179.5,0,,,
astar-jps-dial,with_roads,bar_chart,1046,280,61.2,0,,,
astar-jps-dial,with_roads,bar_chart,995,957,64.6,0,,,
astar-jps-dial,with_roads,bar_chart,741,123,707.9,0,,,
astar-jps-dial,with_roads,bar_chart,1272,356,184.1,0,,,
astar-jps-dial,with_roads,bar_chart,1042,226,710.1,0,,,
astar-dial-cheb,no_roads,battlebot,443,79,265.5,0,,,
astar-dial-cheb,no_roads,battlebot,12,514,127.1,0,,,
astar-dial-cheb,no_roads,battlebot,180,160,12.1,0,,,
astar-dial-cheb,no_roads,battlebot,147,96,338.3,0,,,
astar-dial-cheb,no_roads,battlebot,511,74,311.4,0,,,
astar-dial-cheb,no_roads,battlebot,471,514,18.9,0,,,
astar-dial-cheb,no_roads,battlebot,375,66,189.4,0,,,
astar-dial-cheb,no_roads,battlebot,409,280,62.6,0,,,
astar-dial-cheb,no_roads,battlebot,16,15,8.6,0,,,
astar-dial-cheb,no_roads,battlebot,69,143,127.2,0,,,
astar-dial-cheb,no_roads,battlebot,154,338,111.8,0,,,
astar-dial-cheb,no_roads,battlebot,416,13,395.7,0,,,
astar-dial-cheb,no_roads,battlebot,388,130,164.1,0,,,
astar-dial-cheb,no_roads,battlebot,496,451,23.6,0,,,
astar-dial-cheb,no_roads,battlebot,489,375,140.0,0,,,
astar-dial-cheb,no_roads,battlebot,277,144,207.7,0,,,
astar-dial-cheb,no_roads,battlebot,297,408,90.5,0,,,
astar-dial-cheb,no_roads,battlebot,183,559,283.3,0,,,
astar-dial-cheb,no_roads,battlebot,597,3,352.5,0,,,
astar-dial-cheb,no_roads,battlebot,526,557,70.0,0,,,
astar-jps,no_roads,battlebot,443,79,112.9,0,,,
astar-jps,no_roads,battlebot,12,514,105.6,0,,,
astar-jps,no_roads,battlebot,180,160,21.2,0,,,
astar-jps,no_roads,battlebot,147,96,187.5,0,,,
astar-jps,no_roads,battlebot,511,74,123.2,0,,,
astar-jps,no_roads,battlebot,471,514,26.1,0,,,
astar-jps,no_roads,battlebot,375,66,86.3,0,,,
astar-jps,no_roads,battlebot,409,280,38.8,0,,,
astar-jps,no_roads,battlebot,16,15,13.5,0,,,
astar-jps,no_roads,battlebot,69,143,89.6,0,,,
astar-jps,no_roads,battlebot,154,338,79.4,0,,,
astar-jps,no_roads,battlebot,416,13,739.5,0,,,
astar-jps,no_roads,battlebot,388,130,66.4,0,,,
astar-jps,no_roads,battlebot,496,451,29.5,0,,,
astar-jps,no_roads,battlebot,489,375,83.9,0,,,
astar-jps,no_roads,battlebot,277,144,87.1,0,,,
astar-jps,no_roads,battlebot,297,408,103.4,0,,,
astar-jps,no_roads,battlebot,183,559,232.6,0,,,
astar-jps,no_roads,battlebot,597,3,774.4,0,,,
astar-jps,no_roads,battlebot,526,557,70.0,0,,,
