algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-precomp,no_roads,bear_of_doom,285,309,1,14.290000,1,1,1.000000,1,9,3,441
astar-jps-precomp,no_roads,bear_of_doom,383,234,1,17.422000,1,1,1.000000,1,21,7,441
astar-jps-precomp,no_roads,bear_of_doom,54,251,1,51.743000,1,1,1.000000,1,69,23,441
astar-jps-precomp,no_roads,bear_of_doom,192,25,1,17.906000,1,1,1.000000,1,24,8,441
astar-jps-precomp,no_roads,bear_of_doom,24,56,1,43.697000,0,0,,,0,0,441
astar-jps-precomp,no_roads,bear_of_doom,118,125,1,49.356000,1,1,1.000000,1,78,26,441
astar-jps-precomp,no_roads,bear_of_doom,218,256,1,15.821000,1,1,1.000000,1,12,4,441
astar-jps-precomp,no_roads,bear_of_doom,21,238,1,29.003000,1,1,1.000000,1,78,26,441
astar-jps-precomp,no_roads,bear_of_doom,110,300,1,16.395000,1,1,1.000000,1,27,9,441
astar-jps-precomp,no_roads,bear_of_doom,273,293,1,47.573000,0,0,,,0,0,441
astar-jps-precomp,no_roads,bear_of_doom,234,191,1,10.039000,1,1,1.000000,1,6,2,441
astar-jps-precomp,no_roads,bear_of_doom,119,201,1,10.167000,1,1,1.000000,1,12,4,441
astar-jps-precomp,no_roads,bear_of_doom,248,141,1,10.564000,1,1,1.000000,1,15,5,441
astar-jps-precomp,no_roads,bear_of_doom,339,371,1,45.224000,0,0,,,0,0,441
astar-jps-precomp,no_roads,bear_of_doom,5,318,1,27.108000,1,1,1.000000,1,45,15,441
astar-jps-precomp,with_roads,bear_of_doom,268,66,1,44.183000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,21,309,1,45.797000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,140,129,1,36.030000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,120,80,1,9.135000,1,1,1.000000,1,6,2,441
astar-jps-precomp,with_roads,bear_of_doom,308,63,1,38.541000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,285,309,1,12.978000,1,1,1.000000,1,9,3,441
astar-jps-precomp,with_roads,bear_of_doom,383,234,1,15.576000,1,1,1.222222,1,11,7,441
astar-jps-precomp,with_roads,bear_of_doom,54,251,1,44.794000,1,1,1.000000,1,69,23,441
astar-jps-precomp,with_roads,bear_of_doom,192,25,1,16.760000,1,1,1.400000,1,14,8,441
astar-jps-precomp,with_roads,bear_of_doom,24,56,1,39.919000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,118,125,1,44.234000,1,1,1.000000,1,78,26,441
astar-jps-precomp,with_roads,bear_of_doom,218,256,1,14.730000,1,1,1.333333,1,8,4,441
astar-jps-precomp,with_roads,bear_of_doom,21,238,1,29.058000,1,1,1.057143,1,74,26,441
astar-jps-precomp,with_roads,bear_of_doom,110,300,1,15.276000,1,1,2.083333,0,25,9,441
astar-jps-precomp,with_roads,bear_of_doom,273,293,1,55.852000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,234,191,1,10.320000,1,1,1.000000,1,2,2,441
astar-jps-precomp,with_roads,bear_of_doom,119,201,1,9.983000,1,1,1.000000,1,12,4,441
astar-jps-precomp,with_roads,bear_of_doom,248,141,1,10.478000,1,1,1.000000,1,15,5,441
astar-jps-precomp,with_roads,bear_of_doom,339,371,1,48.166000,0,0,,,0,0,441
astar-jps-precomp,with_roads,bear_of_doom,5,318,1,25.432000,1,1,1.347826,0,31,15,441
astar-jps-precomp,no_roads,binary_tree,758,124,1,42.677000,1,1,1.000000,1,60,20,1230
astar-jps-precomp,no_roads,binary_tree,28,902,1,206.284000,1,1,1.000000,1,135,45,1230
astar-jps-precomp,no_roads,binary_tree,309,276,1,62.961000,1,1,1.000000,1,36,12,1230
astar-jps-precomp,no_roads,binary_tree,250,156,1,43.380000,1,1,1.000000,1,87,29,1230
astar-jps-precomp,no_roads,binary_tree,897,114,1,75.691000,1,1,1.000000,1,114,38,1230
astar-jps-precomp,no_roads,binary_tree,810,901,1,58.317000,1,1,1.000000,1,69,23,1230
astar-jps-precomp,no_roads,binary_tree,1098,634,1,29.481000,1,1,1.000000,1,60,20,1230
astar-jps-precomp,no_roads,binary_tree,95,688,1,27.119000,1,1,1.000000,1,60,20,1230
astar-jps-precomp,no_roads,binary_tree,484,35,1,17.827000,1,1,1.000000,1,33,11,1230
astar-jps-precomp,no_roads,binary_tree,33,103,1,12.366000,1,1,1.000000,1,36,12,1230
astar-jps-precomp,no_roads,binary_tree,245,262,1,20.962000,1,1,1.000000,1,72,24,1230
astar-jps-precomp,no_roads,binary_tree,583,705,1,12.378000,1,1,1.000000,1,9,3,1230
astar-jps-precomp,no_roads,binary_tree,30,654,1,15.476000,1,1,1.000000,1,45,15,1230
astar-jps-precomp,no_roads,binary_tree,223,865,1,96.221000,1,1,1.000000,1,105,35,1230
astar-jps-precomp,no_roads,binary_tree,772,847,1,15.487000,1,1,1.000000,1,21,7,1230
astar-jps-precomp,no_roads,binary_tree,634,479,1,18.988000,1,1,1.000000,1,27,9,1230
astar-jps-precomp,no_roads,binary_tree,247,514,1,27.506000,1,1,1.000000,1,63,21,1230
astar-jps-precomp,no_roads,binary_tree,687,312,1,42.166000,1,1,1.000000,1,27,9,1230
astar-jps-precomp,no_roads,binary_tree,989,1063,1,35.595000,1,1,1.000000,1,99,33,1230
astar-jps-precomp,no_roads,binary_tree,6,925,1,53.644000,1,1,1.000000,1,75,25,1230
astar-jps-precomp,with_roads,binary_tree,758,124,1,37.068000,1,1,1.047619,1,44,20,1230
astar-jps-precomp,with_roads,binary_tree,28,902,1,90.263000,1,1,1.242424,0,123,45,1230
astar-jps-precomp,with_roads,binary_tree,309,276,1,28.300000,1,1,1.000000,1,36,12,1230
astar-jps-precomp,with_roads,binary_tree,250,156,1,23.480000,1,1,1.231884,1,85,29,1230
astar-jps-precomp,with_roads,binary_tree,897,114,1,44.998000,1,1,1.000000,1,114,38,1230
astar-jps-precomp,with_roads,binary_tree,810,901,1,52.498000,1,1,1.000000,1,69,23,1230
astar-jps-precomp,with_roads,binary_tree,1098,634,1,35.996000,1,1,1.000000,1,60,20,1230
astar-jps-precomp,with_roads,binary_tree,95,688,1,32.656000,1,1,1.111111,1,60,20,1230
