algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-mpsp,with_roads,bar_chart,1272,356,1,31.140000,1,1,1.193548,1,74,26,1400
astar-jps-mpsp,with_roads,bar_chart,1042,226,1,205.588000,0,0,,,0,0,1400
astar-jps-mpsp,no_roads,battlebot,443,79,1,94.418000,1,1,1.000000,1,57,19,609
astar-jps-mpsp,no_roads,battlebot,12,514,1,101.244000,1,1,1.000000,1,117,39,609
astar-jps-mpsp,no_roads,battlebot,180,160,1,24.218000,1,1,1.000000,1,3,1,609
astar-jps-mpsp,no_roads,battlebot,147,96,1,151.344000,1,1,1.000000,1,126,42,609
astar-jps-mpsp,no_roads,battlebot,511,74,1,87.296000,1,1,1.000000,1,63,21,609
astar-jps-mpsp,no_roads,battlebot,471,514,1,28.656000,1,1,1.000000,1,6,2,609
astar-jps-mpsp,no_roads,battlebot,375,66,1,86.303000,1,1,1.000000,1,48,16,609
astar-jps-mpsp,no_roads,battlebot,409,280,1,34.972000,1,1,1.000000,1,21,7,609
astar-jps-mpsp,no_roads,battlebot,16,15,1,14.740000,1,1,1.000000,1,3,1,609
astar-jps-mpsp,no_roads,battlebot,69,143,1,47.752000,1,1,1.000000,1,33,11,609
astar-jps-mpsp,no_roads,battlebot,154,338,1,58.551000,1,1,1.000000,1,27,9,609
astar-jps-mpsp,no_roads,battlebot,416,13,1,501.831000,1,1,1.000000,1,120,40,609
astar-jps-mpsp,no_roads,battlebot,388,130,1,40.281000,1,1,1.000000,1,36,12,609
astar-jps-mpsp,no_roads,battlebot,496,451,1,21.851000,1,1,1.000000,1,9,3,609
astar-jps-mpsp,no_roads,battlebot,489,375,1,46.618000,1,1,1.000000,1,36,12,609
astar-jps-mpsp,no_roads,battlebot,277,144,1,48.237000,1,1,1.000000,1,42,14,609
astar-jps-mpsp,no_roads,battlebot,297,408,1,46.737000,1,1,1.000000,1,27,9,609
astar-jps-mpsp,no_roads,battlebot,183,559,1,57.315000,1,1,1.000000,1,54,18,609
astar-jps-mpsp,no_roads,battlebot,597,3,1,366.682000,1,1,1.000000,1,99,33,609
astar-jps-mpsp,no_roads,battlebot,526,557,1,36.834000,1,1,1.000000,1,30,10,609
astar-jps-mpsp,with_roads,battlebot,443,79,1,107.139000,1,1,1.000000,1,57,19,609
astar-jps-mpsp,with_roads,battlebot,12,514,1,73.983000,1,1,1.738462,0,113,39,609
astar-jps-mpsp,with_roads,battlebot,180,160,1,17.543000,1,1,1.000000,1,3,1,609
astar-jps-mpsp,with_roads,battlebot,147,96,1,113.607000,1,1,1.076923,1,84,42,609
astar-jps-mpsp,with_roads,battlebot,511,74,1,66.804000,1,1,1.067797,0,63,21,609
astar-jps-mpsp,with_roads,battlebot,471,514,1,22.591000,1,1,1.000000,1,2,2,609
astar-jps-mpsp,with_roads,battlebot,375,66,1,80.021000,1,1,1.000000,1,48,16,609
astar-jps-mpsp,with_roads,battlebot,409,280,1,35.363000,1,1,1.000000,1,21,7,609
astar-jps-mpsp,with_roads,battlebot,16,15,1,17.130000,1,1,1.000000,1,3,1,609
astar-jps-mpsp,with_roads,battlebot,69,143,1,114.764000,1,1,1.000000,1,33,11,609
astar-jps-mpsp,with_roads,battlebot,154,338,1,165.590000,1,1,1.000000,1,27,9,609
astar-jps-mpsp,with_roads,battlebot,416,13,1,1291.581000,1,1,1.411765,1,120,40,609
astar-jps-mpsp,with_roads,battlebot,388,130,1,85.184000,1,1,1.000000,1,36,12,609
astar-jps-mpsp,with_roads,battlebot,496,451,1,44.705000,1,1,1.285714,0,9,3,609
astar-jps-mpsp,with_roads,battlebot,489,375,1,100.832000,1,1,1.153846,0,30,12,609
astar-jps-mpsp,with_roads,battlebot,277,144,1,120.738000,1,1,1.000000,1,42,14,609
