algo,scenario,map,start,time_us,exact,worst_ratio
bfs-alloc,with_roads,CambcDevs,302,227.255000,0,1.157895
bfs-alloc,with_roads,CambcDevs,189,227.744000,0,1.272727
bfs-alloc,with_roads,CambcDevs,1026,231.894000,0,1.023529
bfs-alloc,with_roads,CambcDevs,136,225.882000,0,1.153846
bfs-swap,with_roads,CambcDevs,889,248.832000,0,1.076923
bfs-swap,with_roads,CambcDevs,150,244.332000,0,1.428571
bfs-swap,with_roads,CambcDevs,25,228.233000,0,1.200000
bfs-swap,with_roads,CambcDevs,1032,231.602000,0,1.066667
bfs-swap,with_roads,CambcDevs,366,229.259000,0,1.230769
bfs-swap,with_roads,CambcDevs,335,229.450000,0,1.176471
bfs-swap,with_roads,CambcDevs,302,227.555000,0,1.157895
bfs-swap,with_roads,CambcDevs,189,232.757000,0,1.272727
bfs-swap,with_roads,CambcDevs,1026,248.255000,0,1.023529
bfs-swap,with_roads,CambcDevs,136,245.173000,0,1.153846
bfs-unrolled,with_roads,CambcDevs,889,239.489000,0,1.076923
bfs-unrolled,with_roads,CambcDevs,150,246.734000,0,1.428571
bfs-unrolled,with_roads,CambcDevs,25,239.931000,0,1.200000
bfs-unrolled,with_roads,CambcDevs,1032,232.629000,0,1.066667
bfs-unrolled,with_roads,CambcDevs,366,233.852000,0,1.230769
bfs-unrolled,with_roads,CambcDevs,335,231.207000,0,1.176471
bfs-unrolled,with_roads,CambcDevs,302,226.787000,0,1.157895
bfs-unrolled,with_roads,CambcDevs,189,228.232000,0,1.272727
bfs-unrolled,with_roads,CambcDevs,1026,232.234000,0,1.023529
bfs-unrolled,with_roads,CambcDevs,136,227.373000,0,1.153846
bfs,no_roads,GoodMap,2103,509.278000,1,1.000000
bfs,no_roads,GoodMap,232,479.346000,1,1.000000
bfs,no_roads,GoodMap,52,468.833000,1,1.000000
bfs,no_roads,GoodMap,2335,530.326000,1,1.000000
bfs,no_roads,GoodMap,732,533.583000,1,1.000000
bfs,no_roads,GoodMap,605,538.177000,1,1.000000
