map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
default_large1,40,40,1600,1444,with_roads,80,astar_w1,1,427.6,1061.0,1297.9,492.9,505,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,with_roads,80,astar_w3,3,136.5,502.6,1664.3,185.3,171,1.0079,1.0618,1.2353,0
default_large1,40,40,1600,1444,with_roads,80,astar_w5,5,60.2,235.3,634.7,86.6,68,1.1876,1.705,2.1554,0
default_large1,40,40,1600,1444,with_roads,80,astar_w_avg,4,99.7,358.5,616.4,127.2,111,1.0387,1.2318,1.5317,0
default_large1,40,40,1600,1444,with_roads,80,astar_w_min,1,419.3,1063.5,1396.6,487.6,505,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,with_roads,80,greedy,0,28.1,57.3,122.4,31.2,24,1.6058,2.6452,4.1875,0
default_large2,50,30,1500,1266,no_roads,0,dial_exact,0,462.3,801.7,823.8,439.8,650,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,no_roads,0,astar_w1,1,489.5,1153.6,1271.0,544.5,554,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,no_roads,0,astar_w3,3,295.2,1083.5,1205.1,388.5,355,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,no_roads,0,astar_w5,5,124.5,509.0,859.3,175.2,148,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,no_roads,0,astar_w_avg,5,124.7,502.3,873.1,175.7,148,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,no_roads,0,astar_w_min,5,131.3,522.6,916.7,176.1,148,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,no_roads,0,greedy,0,32.5,86.6,174.5,37.0,35,1.1255,1.5296,2.608,0
default_large2,50,30,1500,1266,with_roads,82,dial_exact,0,436.4,812.5,1394.5,441.5,641,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,with_roads,82,astar_w1,1,354.9,957.8,1226.7,425.0,440,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,with_roads,82,astar_w3,3,152.1,626.8,1246.5,208.7,193,1.0063,1.0196,1.243,0
default_large2,50,30,1500,1266,with_roads,82,astar_w5,5,78.3,406.4,924.3,127.1,102,1.1899,1.8,2.3247,0
default_large2,50,30,1500,1266,with_roads,82,astar_w_avg,4,126.1,569.2,867.4,179.0,141,1.0459,1.3989,1.6733,0
default_large2,50,30,1500,1266,with_roads,82,astar_w_min,1,380.0,982.1,1322.8,439.8,440,1.0,1.0,1.0,0
default_large2,50,30,1500,1266,with_roads,82,greedy,0,32.5,90.8,133.8,37.9,35,1.8187,3.3365,7.2254,0
default_medium1,30,30,900,816,no_roads,0,dial_exact,0,250.8,510.6,551.8,267.3,409,1.0,1.0,1.0,0
default_medium1,30,30,900,816,no_roads,0,astar_w1,1,279.6,689.1,1074.1,318.3,337,1.0,1.0,1.0,0
default_medium1,30,30,900,816,no_roads,0,astar_w3,3,167.5,528.8,770.2,198.9,198,1.0,1.0,1.0,0
default_medium1,30,30,900,816,no_roads,0,astar_w5,5,62.4,236.9,432.9,84.0,71,1.0,1.0,1.0,0
default_medium1,30,30,900,816,no_roads,0,astar_w_avg,5,61.6,239.3,434.5,82.6,71,1.0,1.0,1.0,0
default_medium1,30,30,900,816,no_roads,0,astar_w_min,5,59.3,256.9,394.0,81.8,71,1.0,1.0,1.0,0
default_medium1,30,30,900,816,no_roads,0,greedy,0,22.5,47.2,97.2,24.2,17,1.1125,1.4383,1.6514,0
default_medium1,30,30,900,816,with_roads,35,dial_exact,0,283.4,520.4,593.2,277.3,416,1.0,1.0,1.0,0
default_medium1,30,30,900,816,with_roads,35,astar_w1,1,300.1,693.2,918.3,321.2,326,1.0,1.0,1.0,0
default_medium1,30,30,900,816,with_roads,35,astar_w3,3,134.3,481.4,638.9,173.7,174,1.0036,1.0061,1.2051,0
default_medium1,30,30,900,816,with_roads,35,astar_w5,5,46.0,188.7,419.8,64.9,57,1.037,1.1977,2.0811,0
default_medium1,30,30,900,816,with_roads,35,astar_w_avg,4,88.6,322.2,604.4,119.9,118,1.0096,1.1034,1.2051,0
default_medium1,30,30,900,816,with_roads,35,astar_w_min,1,268.6,639.7,786.0,297.7,326,1.0,1.0,1.0,0
default_medium1,30,30,900,816,with_roads,35,greedy,0,19.9,43.0,74.4,21.6,17,1.2014,1.7784,2.5806,0
default_medium2,30,30,900,814,no_roads,0,dial_exact,0,310.6,476.6,553.6,280.5,439,1.0,1.0,1.0,0
default_medium2,30,30,900,814,no_roads,0,astar_w1,1,331.2,673.5,841.9,329.1,364,1.0,1.0,1.0,0
default_medium2,30,30,900,814,no_roads,0,astar_w3,3,200.0,485.3,615.0,209.3,217,1.0,1.0,1.0,0
default_medium2,30,30,900,814,no_roads,0,astar_w5,5,70.2,217.4,505.5,86.9,76,1.0,1.0,1.0,0
default_medium2,30,30,900,814,no_roads,0,astar_w_avg,5,67.2,199.8,509.0,84.0,76,1.0,1.0,1.0,0
default_medium2,30,30,900,814,no_roads,0,astar_w_min,5,70.6,214.1,514.9,85.6,76,1.0,1.0,1.0,0
default_medium2,30,30,900,814,no_roads,0,greedy,0,23.0,43.1,63.9,23.3,18,1.136,1.4606,1.6562,0
default_medium2,30,30,900,814,with_roads,56,dial_exact,0,289.9,475.7,521.6,272.0,429,1.0,1.0,1.0,0
default_medium2,30,30,900,814,with_roads,56,astar_w1,1,287.6,638.0,861.4,301.4,324,1.0,1.0,1.0,0
default_medium2,30,30,900,814,with_roads,56,astar_w3,3,106.6,501.7,764.9,164.5,150,1.0057,1.0276,1.2056,0
default_medium2,30,30,900,814,with_roads,56,astar_w5,5,45.5,150.5,237.9,59.8,49,1.1084,1.5,2.5556,0
default_medium2,30,30,900,814,with_roads,56,astar_w_avg,4,74.2,279.4,594.0,99.9,94,1.0291,1.2051,1.8305,0
default_medium2,30,30,900,814,with_roads,56,astar_w_min,1,292.4,651.2,884.7,303.8,324,1.0,1.0,1.0,0
default_medium2,30,30,900,814,with_roads,56,greedy,0,22.7,41.1,68.0,23.1,18,1.4348,2.4016,2.9831,0
default_small1,20,20,400,360,no_roads,0,dial_exact,0,120.6,217.7,235.0,120.5,185,1.0,1.0,1.0,0
default_small1,20,20,400,360,no_roads,0,astar_w1,1,128.8,283.3,369.4,137.4,152,1.0,1.0,1.0,0
